t_subj,v_Intercept_subj,v_z_AttentionW_subj,v_z_IAW_chart:C(OVcate)[low]_subj,v_z_IAW_chart:C(OVcate)[medium]_subj,v_z_IAW_chart:C(OVcate)[high]_subj,v_z_IAW_image:C(OVcate)[low]_subj,v_z_IAW_image:C(OVcate)[medium]_subj,v_z_IAW_image:C(OVcate)[high]_subj,a_Intercept_subj,a_OVcate[T.low]_subj,a_OVcate[T.medium]_subj
0.3971340942732314,1.5056790899679593,1.0718977668829592,1.3353930200893274,1.2358216585799475,1.4661709738823405,0.7161639771623356,1.1868100767921406,0.9791560495501924,1.535016183400877,0.45742497357226936,0.2810337855840445
0.4090941526733682,1.080467177156419,1.108432365522642,1.2452838180383439,0.5055520407453179,1.0080869985160437,0.33766739523165795,0.7146580381961172,0.768078989356785,1.3213045505197856,0.49912260504613554,0.12495332625561877
0.41285557142060386,1.7668362118971754,1.2080492984153788,1.3996957853844274,0.5457940330014727,1.0324026709922394,0.7731673878129913,0.5993991190484428,0.8679507959131226,2.67695740210027,-0.35589141777775446,-0.26834885719572155
0.3408366721840256,1.77134037938981,1.2460968205791196,1.8806139627917777,1.4280886348303874,1.6924894469704048,1.0588569541033395,0.9676030812374613,1.0743620770731255,1.956531976088068,0.16331185001361495,-0.18639107221889245
0.43301599797451307,1.4840601195258645,1.163188507987354,1.499990802613393,1.2183498984688252,1.0932644009632646,0.6986236766267202,0.6287888790769979,0.5300190129135938,2.2100882325201394,0.040378339505997285,-0.0036451882609032375
0.5853200949990968,1.336767038120369,0.9141421758804736,1.4750433677184673,0.7468149547678282,0.7782419796175003,0.7155435877987905,0.9605268323058878,1.3616708741596375,1.7030279578315184,-0.09491643822766932,0.11338015790054824
0.4276229964277515,1.8982653030412378,1.469008992845491,1.735159768555104,2.2357025130787247,1.5254216180308848,0.875691966816724,0.8630679724990682,1.0492192322969836,1.5049285064068378,0.1619034226916848,0.1652177290495149
0.447172778183059,1.4367290564112942,1.0830600013125284,1.1388768993762677,1.2192880339984349,1.3942032383486234,1.7841980298061588,1.1072052220929398,0.9821773431460649,1.7768893514813675,0.21201270433716757,0.304246669633446
0.4031119996712755,1.662115576599988,1.4521542025396978,1.2916819844242386,1.7273518213667756,1.1618963244453147,0.5340841697715519,0.8327275156427282,0.927856678056981,1.0343535277218552,0.0018004970771415586,0.12073606389184903
0.4923435853250376,1.4432691193462373,1.1197630498338706,1.8710028289428917,1.1933452237574718,0.7875397376697456,1.726088836549382,0.70884083436909,1.1613285194482417,1.6567752711688442,0.27271149289042196,0.10829223172416041
0.4143573304909409,1.6862454626073158,1.1684093456676399,1.2164249672725327,1.5456769531633172,1.3634726743883312,0.6281689685299578,1.1366974788661053,1.1654906601744635,1.4187328252898324,-0.3200136638750406,-0.32872975682312905
0.4653399967252708,1.729480282405692,1.4389605091886462,1.5353890763870681,1.84182033098283,1.234015849638565,0.7171001828427992,0.8579762124957906,0.8964493668703523,1.696590841014912,0.08181092558210723,-0.2772514263106425
0.3918022648681196,1.4244808189821647,0.8859815368459505,1.0585907388217308,0.6979184848911384,1.554514244380858,1.04935154617495,1.084964194857075,1.106723041227678,2.39772425192112,0.0012753421864905496,0.21405588646485685
0.4080511130715576,1.597472132969103,1.3583034746489757,1.2902998103661156,1.3183730940423513,1.3907869203217162,0.06292347424917202,0.682625995982532,1.3446167479560105,2.988613618313842,-0.08474827623951567,0.23048794335152753
0.4605434204368333,1.6332351558367182,1.2935808109248428,1.6914924210651154,1.1728626680813738,1.3637111746257995,0.8621203201908408,1.2233334241144682,1.0348925398593183,2.1984857836756015,0.0834960049908241,-0.056024610231411656
0.4474826680798827,1.7547923041388225,1.3977443646927774,1.4975935191277259,1.1776278564250635,1.1870005765918885,1.662761549843621,0.9345633142681058,0.5122501271932735,2.82945896988737,0.3976804462420953,-0.04057001559694394
0.38935225550779695,2.0010186074135192,1.582617617508557,0.7633274656445698,1.799460573010746,1.5989115768953504,1.5099568126729013,0.853848564307478,1.3007991446884155,2.0376360623326715,0.9998846556204367,0.19936537111621885
0.3937009590707185,1.427448913094986,1.1065166299126123,1.1154114158781392,1.3476699530638192,1.2929159240167445,1.150513509458383,0.7407906240172402,0.8564417106251153,1.6762373870355645,0.5199957514013787,0.12947401995502475
0.40326981070136336,0.8498023494479199,0.6565989778461325,1.1255957527513896,0.7002853895618635,0.47366691043225106,0.5960156576503283,0.6586033776215402,0.8112424247072854,1.3220274840498885,0.023164620484068147,0.13644876601836603
0.4367139994412178,1.010751868465737,1.034867517317066,1.7079191133491398,0.40994115477408233,0.5531874454211329,0.7636969291793481,0.758814943671173,-0.20410413180037948,2.161950195822907,0.3626137918951471,-0.02890101935822061
0.532654825404456,1.7557735777524313,1.5921598868961655,1.638573616681275,1.8187141810077982,1.86637285597633,1.3010211700737286,1.113879986722633,1.5095799357194937,2.2983810066655184,0.41902193254161274,0.34667452588151787
