model,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
7,0,-19143.627041537322,12339.785507212091,0.0,,2765.1486246439545,0.0,True,log
3,1,-20723.117932220688,14286.504406546324,1579.4908906833637,,,2036.1137328505017,True,log
2,2,-20950.35274419857,14487.035623405638,1806.725702661249,,2882.970967155001,1936.7344761971046,True,log
8,3,,,,,2908.1404179635724,,True,log
