a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(cond)[0]_subj,v_InattentionW:C(cond)[1]_subj,v_InattentionW:C(cond)[2]_subj,v_InattentionW:C(cond)[3]_subj
1.887195922486067,0.2342870916720081,1.792554732249514,0.014300291125559647,-0.008748915953619063,-0.03213952624787811,-0.037655249640651596,-0.08280016515150963
1.3799406098551783,0.25283946173084254,1.257192036231781,0.02762452267154883,-0.014552362824125614,0.0006932695748859761,-0.04576598058485736,-0.09042130428006971
1.5394545693576638,0.24816966263961052,1.22999419780061,0.027723001318217425,-0.009109346302329312,-0.05122708665500118,-0.04769461244469296,-0.11016747492867633
1.783428810166688,0.2940204773995434,1.5203792986274272,0.0116150881122575,-0.006139034428857421,-0.02161752332122371,-0.045197042212599174,-0.1385891052624091
1.5956050907546397,0.2668361514855756,1.5231220357653708,0.01621990202135743,-0.012469123176220575,-0.0061267183055912725,-0.030432006723688086,-0.05530916930746216
1.9598454293597318,0.23470991470560915,1.0994237630506896,0.018872404185282486,-0.006798927968822745,-0.022292672076880193,-0.045009901976695785,-0.13495972300481454
1.108758217551523,0.21702465836239077,0.9270060711383913,0.012945955044759417,-0.010291085577576799,-0.017928308076968085,-0.04072220364553525,-0.07295389314529217
1.6044466006757176,0.26941220949656386,1.6325585398731437,0.0222443123295599,-0.008774526257936758,-0.011496397284459262,-0.030100176961136562,-0.08006045626849072
1.623489840786545,0.21811478588868133,1.4934253664903197,0.022242413795295558,-0.012002802353581064,-0.04036896884855836,-0.024984857197296886,-0.13884494733029207
1.168296529020585,0.27875561817601363,2.214848420832924,0.010789999768423765,-0.007238417488059398,-0.016546516301751024,-0.04155283681806647,-0.04037027207781014
1.4947154429864526,0.24242099360518868,1.1709155250704086,0.029613090713464185,-0.010369563150629894,-0.0015056486938820387,-0.05467684680800632,-0.07426398108637124
2.2254742637975458,0.25110867114189167,1.2878982038276845,0.018485007177616784,-0.013631446172627348,-0.010065711584772501,-0.03497295839606239,-0.21591870481523542
2.3136137894936963,0.2944248996194877,0.7747351163787255,0.01523447309602073,-0.009692716571683729,-0.01495954931532046,-0.05095254724386848,-0.07701365970149447
1.9905798892933986,0.23703444352345432,1.8297197484290646,0.012472218786581987,-0.010610627888102056,-0.01128912491268537,-0.040956371793364026,-0.17593813771954028
2.017120905617079,0.19539298421595547,1.2909871378067077,0.031129789487326857,-0.009751478585493148,-0.03768935969057917,-0.04554429827984225,-0.13901232288550686
1.3148332959338418,0.21822813263248944,0.8740791127568485,0.020581840628765117,-0.011433470675826759,-0.01793820571581057,-0.022778264738368633,-0.15721587878074172
1.889657506124512,0.2752508714261676,1.9318677164049782,0.007918629211736257,-0.008943115885542165,-0.012115258870589578,-0.045290094369471116,-0.1534791984199919
2.1851093368550574,0.18993519576521362,1.3740134621566678,0.005534981606046678,-0.01218032014275013,-0.019416853347266384,-0.02527801315463287,-0.0952800259660442
1.2115963831034302,0.2600278795565012,0.780717295943538,0.008476676652627777,-0.010028998766819534,-0.011376826792260007,-0.041197098272804475,-0.15148599021189152
1.8007387559129782,0.26720555367748633,1.3417568550813859,0.0241625696927439,-0.010295648553810183,-0.020289298916871923,-0.060012983700156085,-0.1457714408645753
