rt,response,subj_idx,condition,OVcate,ES_AttentionW,ES_InattentionW_E,ES_InattentionW_S
0.924472214782188,0.0,1,none,low,11.791118829074671,5.447779707268667,13.656660878193996
1.2194722147822865,0.0,1,none,high,-5.637130801687764,58.40506329113924,14.042194092827003
2.5834722147827422,0.0,1,none,high,-19.13043478260869,32.46376811594203,41.59420289855072
1.3504722147863377,1.0,1,none,low,-8.342182890855456,2.914454277286136,51.2566371681416
1.0094722147822164,0.0,1,none,high,28.58736059479554,46.00743494423792,27.420074349442377
0.8014722147821469,0.0,1,none,medium,-7.844827586206895,64.13793103448276,1.982758620689655
1.4284722147863638,1.0,1,none,low,11.46205684148843,8.989159097568123,27.527102256079694
3.36047221478701,1.0,1,none,medium,-8.416801292407108,12.633279483037157,41.050080775444265
2.9164722147828535,0.0,1,none,medium,-38.14018043025676,13.11589174184594,31.256072172102705
1.2304722147822902,0.0,1,none,medium,-54.66487935656837,20.268096514745302,14.932975871313674
3.0974722147869214,1.0,1,none,low,4.195871339414303,9.67834853576572,15.482477196351418
1.056472214782232,0.0,1,none,low,0.6926406926406923,10.346320346320343,9.653679653679651
0.8234722147861617,1.0,1,none,medium,-7.724736515809054,2.72783632982021,60.45257284562926
0.7514722147821302,0.0,1,none,medium,-48.89628924833493,36.99333967649857,5.889628924833492
1.7424722147824612,0.0,1,none,high,-17.364016736401673,36.31799163179916,53.68200836820083
2.2804722147866485,1.0,1,none,medium,54.599542334096114,14.919908466819225,20.320366132723112
1.0974722147862532,1.0,1,none,high,65.8728557013118,53.945509586276486,8.07265388496468
0.8454722147861691,1.0,1,none,medium,-15.431034482758625,8.189655172413792,63.62068965517241
3.002472214782882,0.0,1,none,low,7.159763313609471,18.579881656804737,11.420118343195266
1.2484722147863037,1.0,1,none,medium,50.86538461538462,12.884615384615383,32.019230769230774
0.8374722147861664,1.0,1,none,high,31.77702320316921,44.52744765138653,32.75042444821732
0.90047221478218,0.0,1,none,high,21.34253450439148,55.67126725219574,34.32873274780426
