t_subj,a_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj
0.38287002636663314,1.8533908553600256,0.4498283464706615,0.03154252093429448,-0.04035048653894222,0.044229837498209225,-0.04787339868773532
0.3096840041136626,1.699915029969083,-0.49233469439066174,0.031111674729868886,-0.02317196825398681,0.030786261019305917,-0.03361990681455925
0.43207634968204106,2.164003735718613,0.020656595586918687,0.03953909960387776,-0.04759477584468363,0.0331352786967339,-0.04865011939160262
0.3081425451437731,1.7093792846076037,-0.09995213080718658,0.051027702818351735,-0.04699080774366963,0.061728015737634145,-0.04199049972018087
0.4303120490933351,2.0575403079346053,0.26286813111137675,0.03771816934273376,-0.039427465351901794,0.03990540668665825,-0.03452306573877538
0.587894340178854,1.595161132352148,0.07128745363803679,0.03060703850480667,-0.03262959635719605,0.03453646316109885,-0.034625750181034844
0.38404427013749953,1.5696695732689108,-0.1645788061775909,0.05925860118944583,-0.04226793930469018,0.06421171103763318,-0.051852404903838994
0.4497287589429751,1.9381125169945084,0.02760236146529358,0.0391393840643293,-0.03254791990484743,0.0440912421123793,-0.041050332395606556
0.3715596276062801,1.035305764405306,-0.03963763082984879,0.06031572547544556,-0.0517019445211958,0.054618548943909107,-0.042723207645184176
0.4543443452641929,1.695978551905898,-0.007485864210509784,0.045752053265177284,-0.037664679387220935,0.039549349807489316,-0.04105891621321787
0.3715880635345759,1.2840680702984033,0.5863711282722669,0.05464718607230121,-0.04626444314034042,0.05544921541693542,-0.052641910782399694
0.39179261842814084,1.720867498649402,0.5810359580241573,0.048019450429785365,-0.05485981075241419,0.054874091774218245,-0.05307261989996056
0.3798935675087482,2.0235020794511547,-0.02961730456117998,0.040255943480708344,-0.03168143823779744,0.043044290058741025,-0.03936314338417239
0.4242569491453864,2.276874877549467,0.14009035722712074,0.047886172578199916,-0.03201881713194175,0.04840560475097162,-0.033107501784856365
0.44797649702714626,2.251911249962092,0.3220816091899814,0.04582873898757954,-0.0496043424886121,0.048013240447459596,-0.043800947250865044
0.47591212286579887,2.6913155879463155,-0.03286654755029748,0.05228588254828524,-0.04049536276004952,0.04805986278875535,-0.052608435996527786
0.3596750681845396,2.3872340481031875,-0.2707739773718405,0.05185828733204359,-0.05712449864085925,0.05157225593461343,-0.04718171749697054
0.3534142714881822,1.8395349395713696,-0.028960963500478953,0.04297935039112833,-0.02711065604141517,0.04177311202594491,-0.0317994441604749
0.32954215274882276,1.4507450547798824,-0.0955638104933602,0.020252970024867534,-0.014759005950902434,0.019226419585251345,-0.024478047089641138
0.45263825677788616,2.2846710454335954,0.17252593141806635,0.022092321942928105,-0.03340522141972227,0.014258275630516465,-0.02853478927552634
0.5504357518243593,2.438177151625461,-0.1309524407836307,0.04791373800698498,-0.046876400315789754,0.05308598025439284,-0.05121810466380106
