rep,parameter,true,recovered
0,a(high),1.829793683646007,1.782786731090805
0,a(low),2.1875232100511472,2.138522493172406
0,a(medium),2.081779672806439,2.0784830675296804
0,t,0.43853146083922395,0.44591807703169
0,z,0.4729111163662967,0.45031920944713394
0,v_ES_AttentionW,0.03858607005459548,0.03867675041951552
0,v_ES_InattentionW_E,-0.03838301113885605,-0.0355846914458423
0,v_ES_InattentionW_S,0.04630867424141738,0.0457196024711233
1,a(high),1.7642647366850661,1.7106887012919276
1,a(low),1.84811286419771,1.8018942555192143
1,a(medium),1.9050897237362272,1.8715281484675204
1,t,0.4045981023065446,0.4351585307072322
1,z,0.5006421110743747,0.4896308481969496
1,v_ES_AttentionW,0.03635122945858708,0.03350383560692094
1,v_ES_InattentionW_E,-0.04545629938008335,-0.04998177278772257
1,v_ES_InattentionW_S,0.03864860853222905,0.037469500259437676
2,a(high),1.818977269129173,1.7528453506434494
2,a(low),1.715503671180961,1.6849800329946278
2,a(medium),1.779975297330516,1.8017816810306762
2,t,0.41254709870592116,0.4715766598878813
2,z,0.49411589756711827,0.47832855571256155
2,v_ES_AttentionW,0.04045654517790046,0.04074271378285592
2,v_ES_InattentionW_E,-0.046699888758455516,-0.045585292032343794
2,v_ES_InattentionW_S,0.04411484128654311,0.04469018170497986
3,a(high),1.8459262936440135,1.7826061420725763
3,a(low),2.068021988283658,2.05292856810287
3,a(medium),1.926192100134938,1.8629818098524729
3,t,0.4083914351418017,0.38529404900115083
3,z,0.5031413864711786,0.47082175385635877
3,v_ES_AttentionW,0.03752485439508663,0.036100972775556905
3,v_ES_InattentionW_E,-0.04681717624887954,-0.04827692005551363
3,v_ES_InattentionW_S,0.04121528331323881,0.04489309995377231
4,a(high),1.770682027172252,1.7233893814464922
4,a(low),1.9396493179768182,1.892155851371338
4,a(medium),1.9396015296513403,1.89923102996818
4,t,0.46559958362724396,0.45581178441028203
4,z,0.49266141664804874,0.5377403025475386
4,v_ES_AttentionW,0.0418196819281347,0.036186550075636696
4,v_ES_InattentionW_E,-0.04108803046742532,-0.037019140209653155
4,v_ES_InattentionW_S,0.043373257952889495,0.042040093811397554
5,a(high),1.690989108759446,1.6611060687159864
5,a(low),2.0871928679699003,2.0543169182039978
5,a(medium),1.9406798704498855,1.9170625971450261
5,t,0.41384776566109116,0.4304176662277879
5,z,0.47444868689962805,0.46416568204650305
5,v_ES_AttentionW,0.042602642015858366,0.04310732163752947
5,v_ES_InattentionW_E,-0.043376102852114164,-0.04450738048249327
5,v_ES_InattentionW_S,0.043283210131612855,0.04451676783728522
6,a(high),1.8453302761138235,1.7619020961651766
6,a(low),2.0450935742554233,2.0061829337651993
6,a(medium),2.0543024952603735,2.046458282731071
6,t,0.429363574224949,0.4340577811757958
6,z,0.48261371481519705,0.5367514668852085
6,v_ES_AttentionW,0.04656598693634687,0.04699382834661628
6,v_ES_InattentionW_E,-0.04326515777692051,-0.044021426126774406
6,v_ES_InattentionW_S,0.04562316432692544,0.052881624235646
7,a(high),1.7892063294042249,1.754668233908512
7,a(low),2.010805127751842,1.9856687240267568
7,a(medium),2.0354762198696985,2.021876655560534
7,t,0.39150603498807496,0.4001866247875469
7,z,0.47623982620485883,0.5057540827663384
7,v_ES_AttentionW,0.043162334735843036,0.042816094167700255
7,v_ES_InattentionW_E,-0.045365912856398384,-0.042610333636139544
7,v_ES_InattentionW_S,0.04300460730834947,0.04893342450553901
8,a(high),1.7491097380913754,1.7327932141284796
8,a(low),2.085792809711686,2.052497371248911
8,a(medium),1.904867938512072,1.8952809311043024
8,t,0.4320112535677056,0.39807247333583373
8,z,0.49618198368238103,0.5157083262156009
8,v_ES_AttentionW,0.040867364085148704,0.04395060436470359
8,v_ES_InattentionW_E,-0.04272365192940541,-0.04246901537781974
8,v_ES_InattentionW_S,0.042668007380400524,0.044360666896247666
9,a(high),1.649603195342014,1.6400993270017261
9,a(low),2.008822777619134,1.9457124473837524
9,a(medium),1.971000111579777,1.9978340005542563
9,t,0.3827824597362101,0.38113018987343983
9,z,0.5223388516626944,0.4980918190315463
9,v_ES_AttentionW,0.04023051236274775,0.03933056953544971
9,v_ES_InattentionW_E,-0.05064696186463324,-0.04916910724369918
9,v_ES_InattentionW_S,0.04373470126689535,0.04964176660766689
