parameter,R2,p,RMSE
a(high),0.929118041181675,1.6364669841438035e-121,0.09748165311303755
a(low),0.956411701212219,1.763767618337233e-143,0.09199883873430531
a(medium),0.9416039554705673,2.8787300268669284e-130,0.09187635749408275
t,0.9925021581804168,5.4623251421419575e-223,0.008023892836360047
z,0.9915274633903881,1.8097375142853004e-217,0.01617834099549888
v_ES_AttentionW,0.9471748347817388,8.50170300407979e-135,0.0032084110399351363
v_ES_InattentionW_E,0.9465619867767748,2.8224530367422916e-134,0.003788190066674796
v_ES_InattentionW_S,0.8816648965107805,2.3619536470330092e-98,0.0037344677737301065
