bin,mean,sd,n,sem
E>>S,0.5998445998445998,0.4901200926563624,1287,0.013661967047593936
E>S,0.46500777604976673,0.4989680790475052,1286,0.013914008960068586
S~E,0.4345468628969791,0.49588946780006826,1291,0.013801356152984742
S>E,0.421667965705378,0.49401853609374285,1283,0.013792084720541166
S>>E,0.5314685314685315,0.49920272708959557,1287,0.013915143063414152
