bin,mean,sd,n_subjects,sem
1,0.37714540936251095,0.23524032375120904,20,0.05260133549567617
2,0.4301223919825984,0.14459642162556294,21,0.03155352606280437
3,0.4912608988076226,0.07470199059467608,21,0.01630131078399916
4,0.5274837950958147,0.1026907308629755,21,0.022408954635710625
5,0.5330778038448694,0.18303877010173988,21,0.03994233424299252
