bin,mean,sd,n,sem,model_mean,model_sd,model_n,model_sem,model_pi95_low,model_pi95_high,obs_sem_low,obs_sem_high,model_sem_low,model_sem_high,sem_band_overlap,obs_mean_in_model_sem_band,model_mean_in_obs_sem_band,obs_mean_in_model_pi95,diff_model_minus_obs,combined_sem,z_approx,p_approx_2sided,ppc_p_2sided
E>>S,0.5998445998445998,0.4901200926563624,1287,0.013661967047593936,0.5801713286713286,0.010216300384685838,2000,0.00022844342138714875,0.5602175602175602,0.6006216006216006,0.5861826327970059,0.6135065668921937,0.5799428852499414,0.5803997720927158,False,False,False,True,-0.019673271173271223,0.013663876829301326,-1.4398015599118348,0.14992354974647837,0.059
E>S,0.46500777604976673,0.4989680790475052,1286,0.013914008960068586,0.49223211508553655,0.009132451682961671,2000,0.00020420782764334883,0.4735614307931571,0.5093312597200622,0.45109376708969817,0.4789217850098353,0.4920279072578932,0.4924363229131799,False,False,False,False,0.027224339035769818,0.013915507399219753,1.9564029003567842,0.05041771077669974,0.003
S~E,0.4345468628969791,0.49588946780006826,1291,0.013801356152984742,0.44547714949651435,0.008992126641497173,2000,0.00020107006432674459,0.4275755228505035,0.4624322230828815,0.42074550674399436,0.4483482190499638,0.4452760794321876,0.4456782195608411,True,False,True,True,0.010930286599535266,0.013802820756363469,0.7918878896182225,0.42842604894868075,0.234
S>E,0.421667965705378,0.49401853609374285,1283,0.013792084720541166,0.4469727201870616,0.008746532023808215,2000,0.00019557840172613965,0.43022213561964145,0.4637568199532346,0.40787588098483685,0.4354600504259192,0.44677714178533545,0.4471682985887877,False,False,False,False,0.025304754481683567,0.013793471348786964,1.8345457674734602,0.06657302055013799,0.004
S>>E,0.5314685314685315,0.49920272708959557,1287,0.013915143063414152,0.5073515928515928,0.009656536299309596,2000,0.0002159267159245057,0.4887334887334887,0.5268065268065268,0.5175533884051173,0.5453836745319456,0.5071356661356683,0.5075675195675173,False,False,False,False,-0.024116938616938643,0.013916818272217718,-1.7329347948074831,0.08310725899106865,0.014
