stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.49044289044289047,0.4974924071027839,0.03559191913934998,4.969568513811532e-05,0.0013164803931599491,True,40.32380952380953,0.19806508978324783
mean_ub,1.0890511172545503,1.06069269780531,0.2677419618463492,0.0008041999536590526,0.07248995808699066,True,54.852380952380955,0.10591697787556575
std_ub,0.7948249511494707,0.5434261943503864,0.1997634684891952,0.06320133492012514,0.10310677826295865,True,88.65,1.258482137401824
10q_ub,0.5340530687824412,0.6090288003758305,0.12955310078665774,0.005621360327963959,0.022405366251401937,True,35.93571428571429,0.5787258748584954
30q_ub,0.6967239115754182,0.7360277077411611,0.1680456684329429,0.0015447883930382637,0.029784135072112732,True,44.023809523809526,0.23388758860765688
50q_ub,0.8737024189713338,0.8891124648575981,0.21449741646857212,0.00023746951421677026,0.0462466111859092,True,47.78333333333334,0.07184257106668754
70q_ub,1.1194044986498284,1.1344272176715589,0.29149093711383867,0.00022568208680586244,0.08519264850630903,True,49.15238095238096,0.051537516639371554
90q_ub,1.8005100969064642,1.7208118380799182,0.4973921843122148,0.00635181245998312,0.25375079747485796,True,58.209523809523816,0.16023222989872946
mean_lb,-1.060519007826157,-1.0263521837064171,0.2119045082097612,0.0011673718704292419,0.04607089247004971,True,50.42619047619048,0.1612368911279541
std_lb,0.8644884999148749,0.5389916551973603,0.188617189188686,0.10594819592105782,0.1415246399784983,True,95.47619047619048,1.7257008553546995
10q_lb,0.5419935323757272,0.5880641601688805,0.09423560275219169,0.002122502745255269,0.011002851571324192,True,32.79047619047619,0.4888877074867737
30q_lb,0.6742808129161858,0.7063381747052074,0.11993495249429492,0.0010276744448722243,0.015412067274680866,True,37.61190476190477,0.267289569240014
50q_lb,0.8293280940833938,0.852964167048179,0.1577334284098318,0.00055866394519665,0.025438498383116313,True,39.702380952380956,0.1498482167227903
70q_lb,1.0595794399283478,1.090784409564166,0.22733763511641558,0.0009737501299723291,0.05265615047029692,True,39.478571428571435,0.13726266493376066
90q_lb,1.748626132332447,1.676479795347935,0.4251156106005468,0.0052050939402827805,0.18592837631655823,True,54.542857142857144,0.16970992169069812
