bin,mean,sd,n_subjects,sem,model_mean,model_sd,model_n_draws,model_sem,model_pi95_low,model_pi95_high,obs_sem_low,obs_sem_high,model_sem_low,model_sem_high,sem_band_overlap,obs_mean_in_model_sem_band,model_mean_in_obs_sem_band,obs_mean_in_model_pi95,diff_model_minus_obs,combined_sem,z_approx,p_approx_2sided,ppc_p_2sided
1,0.37714540936251095,0.23524032375120904,20,0.05260133549567617,0.41000932217447106,0.0223852545893355,2000,0.0005005495095539332,0.3700010605459909,0.4579454465509861,0.32454407386683476,0.42974674485818715,0.40950877266491714,0.410509871684025,True,False,True,True,0.032863912811960105,0.052603717033496755,0.6247450686998635,0.5321383884305114,0.118
2,0.4301223919825984,0.14459642162556294,21,0.03155352606280437,0.4584731390810725,0.014486102534531423,2000,0.00032391909996244353,0.4294334086670956,0.48674627425503153,0.398568865919794,0.46167591804540276,0.4581492199811101,0.45879705818103494,True,False,True,True,0.028350747098474127,0.0315551886475013,0.8984496152178473,0.3689458953033822,0.056
3,0.4912608988076226,0.07470199059467608,21,0.01630131078399916,0.4927677134053847,0.01391649580246965,2000,0.0003111823062291259,0.4654691800498437,0.5199695804009258,0.4749595880236234,0.5075622095916218,0.4924565310991556,0.49307889571161384,True,False,True,True,0.0015068145977621406,0.01630428065583506,0.09241834273889746,0.9263656663973651,0.914
4,0.5274837950958147,0.1026907308629755,21,0.022408954635710625,0.5084720810822666,0.01574387833181261,2000,0.00035204382179418963,0.4789495534066641,0.5395239916596433,0.5050748404601041,0.5498927497315252,0.5081200372604724,0.5088241249040608,True,False,True,True,-0.019011714013548064,0.022411719762610815,-0.8482934025109962,0.3962745909149253,0.218
5,0.5330778038448694,0.18303877010173988,21,0.03994233424299252,0.512913010466881,0.023470456520418733,2000,0.0005248153624260952,0.4693041403970236,0.5562750496605852,0.4931354696018768,0.5730201380878619,0.5123881951044549,0.5134378258293071,True,False,True,True,-0.020164793377988377,0.0399457819543387,-0.5048040717049522,0.6136964557162632,0.415
