draw,subj_idx,dwell_quintile,subject_mean
0,2,E>>S,0.5909090909090909
0,2,E>S,0.5675675675675675
0,2,S~E,0.42528735632183906
0,2,S>E,0.5072463768115942
0,2,S>>E,0.3695652173913043
0,3,E>>S,0.6666666666666666
0,3,E>S,0.62
0,3,S~E,0.4788732394366197
0,3,S>E,0.578125
0,3,S>>E,0.5925925925925926
0,7,E>>S,0.6153846153846154
0,7,E>S,0.3898305084745763
0,7,S~E,0.3582089552238806
0,7,S>E,0.5970149253731343
0,7,S>>E,0.4897959183673469
0,8,E>>S,0.7619047619047619
0,8,E>S,0.5263157894736842
0,8,S~E,0.5813953488372093
0,8,S>E,0.5066666666666667
0,8,S>>E,0.41134751773049644
0,9,E>>S,0.7125
0,9,E>S,0.4153846153846154
0,9,S~E,0.4153846153846154
0,9,S>E,0.5166666666666667
0,9,S>>E,0.48
0,10,E>>S,0.45
0,10,E>S,0.54
0,10,S~E,0.6341463414634146
0,10,S>E,0.45
0,10,S>>E,0.5390625
0,11,E>>S,0.8205128205128205
0,11,E>S,0.6153846153846154
0,11,S~E,0.37681159420289856
0,11,S>E,0.4057971014492754
0,11,S>>E,0.484375
0,12,E>>S,0.5
0,12,E>S,0.6226415094339622
0,12,S~E,0.4262295081967213
0,12,S>E,0.367816091954023
0,12,S>>E,0.6623376623376623
0,13,E>>S,0.3333333333333333
0,13,E>S,0.3835616438356164
0,13,S~E,0.4107142857142857
0,13,S>E,0.5
0,13,S>>E,0.5357142857142857
0,15,E>>S,0.4430379746835443
0,15,E>S,0.5272727272727272
0,15,S~E,0.4126984126984127
0,15,S>E,0.5
0,15,S>>E,0.4375
0,16,E>>S,0.8181818181818182
0,16,E>S,0.5616438356164384
0,16,S~E,0.48484848484848486
0,16,S>E,0.2727272727272727
0,16,S>>E,0.6216216216216216
0,17,E>>S,0.5701754385964912
0,17,E>S,0.2553191489361702
0,17,S~E,0.34
0,17,S>E,0.4032258064516129
0,17,S>>E,0.6382978723404256
0,18,E>>S,0.4418604651162791
0,18,E>S,0.5111111111111111
0,18,S~E,0.4782608695652174
0,18,S>E,0.5
0,18,S>>E,0.5555555555555556
0,19,E>>S,0.5
0,19,E>S,0.5689655172413793
0,19,S~E,0.5185185185185185
0,19,S>E,0.5151515151515151
0,19,S>>E,0.5405405405405406
0,20,E>>S,0.6136363636363636
0,20,E>S,0.3283582089552239
0,20,S~E,0.42857142857142855
0,20,S>E,0.5
0,20,S>>E,0.5794392523364486
0,21,E>>S,0.48
0,21,E>S,0.5576923076923077
0,21,S~E,0.5098039215686274
0,21,S>E,0.4166666666666667
0,21,S>>E,0.45614035087719296
0,22,E>>S,0.6111111111111112
0,22,E>S,0.4909090909090909
0,22,S~E,0.4264705882352941
0,22,S>E,0.527027027027027
0,22,S>>E,0.5287356321839081
0,23,E>>S,0.546875
0,23,E>S,0.5204081632653061
0,23,S~E,0.6029411764705882
0,23,S>E,0.5208333333333334
0,23,S>>E,0.35135135135135137
0,24,E>>S,0.6354166666666666
0,24,E>S,0.4444444444444444
0,24,S~E,0.5245901639344263
0,24,S>E,0.4533333333333333
0,24,S>>E,0.48
0,25,E>>S,0.4117647058823529
0,25,E>S,0.35051546391752575
0,25,S~E,0.45454545454545453
0,25,S>E,0.46808510638297873
0,25,S>>E,0.6666666666666666
0,26,E>>S,0.7115384615384616
0,26,E>S,0.19444444444444445
0,26,S~E,0.2647058823529412
0,26,S>E,0.20454545454545456
0,26,S>>E,0.5392156862745098
1,2,E>>S,0.5909090909090909
1,2,E>S,0.5675675675675675
1,2,S~E,0.4482758620689655
1,2,S>E,0.5217391304347826
1,2,S>>E,0.32608695652173914
1,3,E>>S,0.7051282051282052
1,3,E>S,0.68
1,3,S~E,0.49295774647887325
1,3,S>E,0.484375
1,3,S>>E,0.5925925925925926
1,7,E>>S,0.7051282051282052
1,7,E>S,0.4406779661016949
1,7,S~E,0.3283582089552239
1,7,S>E,0.5522388059701493
1,7,S>>E,0.40816326530612246
1,8,E>>S,0.8095238095238095
1,8,E>S,0.5526315789473685
1,8,S~E,0.627906976744186
1,8,S>E,0.49333333333333335
1,8,S>>E,0.3900709219858156
1,9,E>>S,0.65
1,9,E>S,0.36923076923076925
1,9,S~E,0.4307692307692308
1,9,S>E,0.48333333333333334
1,9,S>>E,0.52
1,10,E>>S,0.5666666666666667
1,10,E>S,0.5
1,10,S~E,0.6829268292682927
1,10,S>E,0.5
