parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,21,-0.6759922693116652,0.4569655481691349,0.0007686970166444799
v_ES_InattentionW_E,21,0.646449896135141,0.4178974682131346,0.0015432112325757502
v_ES_InattentionW_S,21,-0.5557402262011525,0.30884719901810814,0.00890414585484541
theta_InatWS,21,0.3869994160541776,0.14976854802627446,0.0830719030982367
a,21,-0.27845898166973876,0.07753940447254791,0.22160276513097146
theta_InatWE,21,0.22427087598003786,0.05029742581285353,0.3284048359850922
t,21,-0.2184980616762793,0.04774140295629115,0.3413313554383915
z,21,-0.05850344644625599,0.0034226532460899426,0.8011218890754814
