Model,Gelman-Rubin
a,1.0001686471970657
a_std,1.0003939609392316
a_subj.2,1.000174924672496
a_subj.3,1.0002450269842185
a_subj.7,1.0001682783152033
a_subj.8,0.9999257870894178
a_subj.9,1.0001693508590754
a_subj.10,1.0001670296883993
a_subj.11,1.0002595259402194
a_subj.12,1.0019785512186565
a_subj.13,1.0011684658151894
a_subj.15,1.000026656498062
a_subj.16,0.999924743485931
a_subj.17,1.000376529395069
a_subj.18,0.9999913174420506
a_subj.19,1.0006824429439838
a_subj.20,1.000868411834157
a_subj.21,1.00017862972222
a_subj.22,1.0001424288179306
a_subj.23,1.0011543976947905
a_subj.24,1.0003050027129337
a_subj.25,1.0017242878733643
a_subj.26,1.0011852260964473
t,1.0005483481504012
t_std,0.9999143367397189
t_subj.2,1.0002490682371177
t_subj.3,1.0001655070555626
t_subj.7,1.0000479749619968
t_subj.8,0.9999089639062271
t_subj.9,1.0005879135057905
t_subj.10,1.0008085029378597
t_subj.11,1.000293770275924
t_subj.12,1.0012355769502728
t_subj.13,1.0018670013975073
t_subj.15,1.0002946934337336
t_subj.16,1.0000020720003506
t_subj.17,1.0005872330954375
t_subj.18,1.0003294127393492
t_subj.19,1.0007696145436726
t_subj.20,1.0015664620180098
t_subj.21,0.999918089901823
t_subj.22,1.0002227876001566
t_subj.23,1.0016523758855362
t_subj.24,1.00019598433515
t_subj.25,1.00177435159638
t_subj.26,1.0010986989381168
z_trans,1.0000206809478958
z_std,1.000535763077932
z_subj_trans.2,1.0011588229997763
z_subj_trans.3,1.0002747400592298
z_subj_trans.7,0.9999516146143913
z_subj_trans.8,0.9999428971509517
z_subj_trans.9,0.9999733521899211
z_subj_trans.10,1.0005861884349263
z_subj_trans.11,0.999934420995588
z_subj_trans.12,1.000107943032321
z_subj_trans.13,1.0013783683086215
z_subj_trans.15,1.0006609804000715
z_subj_trans.16,1.0003636728047318
z_subj_trans.17,1.0001731626488848
z_subj_trans.18,1.0001307640951322
z_subj_trans.19,0.9999773150421414
z_subj_trans.20,1.0007414253153712
z_subj_trans.21,1.0003959859698976
z_subj_trans.22,0.9999861187331005
z_subj_trans.23,1.0011718108838277
z_subj_trans.24,1.0002737773732424
z_subj_trans.25,1.0002279618205234
z_subj_trans.26,1.0005892133232592
v_ES_AttentionW,1.000320042473283
v_ES_AttentionW_std,1.0004480656982933
v_ES_AttentionW_subj.2,0.9999856693883004
v_ES_AttentionW_subj.3,1.0005312764886354
v_ES_AttentionW_subj.7,1.0000591161428745
v_ES_AttentionW_subj.8,1.0000756244023672
v_ES_AttentionW_subj.9,0.999976591370543
v_ES_AttentionW_subj.10,1.0006643541305436
v_ES_AttentionW_subj.11,0.9999215236105163
v_ES_AttentionW_subj.12,1.0000379222296458
v_ES_AttentionW_subj.13,1.000162204923581
v_ES_AttentionW_subj.15,1.0003171636590469
v_ES_AttentionW_subj.16,1.0002194575665098
v_ES_AttentionW_subj.17,1.0002652754340122
v_ES_AttentionW_subj.18,1.000672802698025
v_ES_AttentionW_subj.19,1.0001659512567525
v_ES_AttentionW_subj.20,0.9999860176347531
v_ES_AttentionW_subj.21,1.000252713636626
v_ES_AttentionW_subj.22,1.0000085606113762
v_ES_AttentionW_subj.23,1.0000856296477016
v_ES_AttentionW_subj.24,1.0002091594244995
v_ES_AttentionW_subj.25,1.000266491865916
v_ES_AttentionW_subj.26,1.0000388865293175
v_ES_InattentionW_E,1.0000078630026028
v_ES_InattentionW_E_std,1.0006654759055376
v_ES_InattentionW_E_subj.2,1.0014086569638554
v_ES_InattentionW_E_subj.3,1.0006309461597136
v_ES_InattentionW_E_subj.7,1.0002657580179646
v_ES_InattentionW_E_subj.8,1.000035449216441
v_ES_InattentionW_E_subj.9,0.9999363246716441
v_ES_InattentionW_E_subj.10,1.000509886574733
v_ES_InattentionW_E_subj.11,0.9999417578136623
v_ES_InattentionW_E_subj.12,1.000367771872439
v_ES_InattentionW_E_subj.13,1.0009410110566197
v_ES_InattentionW_E_subj.15,0.9999899845033366
