a_subj,t_subj,z_subj,v_ES_AttentionW_subj,v_ES_InattentionW_E_subj,v_ES_InattentionW_S_subj
1.8290836222759397,0.38368303304012696,0.49522767983439664,0.035080915521662294,-0.04796950998546834,0.04124341580991435
1.6871627095791797,0.30990358233878806,0.5637945701538031,0.02644166122259471,-0.022458175816095948,0.04060752503415729
2.159390464411755,0.433020448045033,0.47563271690858855,0.04412726231904761,-0.039839936315364005,0.04486878945949554
1.6900848502407293,0.3069593732080126,0.5616017579789925,0.050963450609576605,-0.05386022074472441,0.053615767213578254
2.0363588848361034,0.4322148204351185,0.486465796132956,0.03817213620472999,-0.03828209640740573,0.03269679260080412
1.6610162779504434,0.5914832348823057,0.5910002414450186,0.0331229924742784,-0.04693433346022494,0.023675071439621456
1.577954884538585,0.3814811177257005,0.48269948693092035,0.05056265986789419,-0.057049740916777114,0.05839153845358886
1.9345542491558025,0.4502190714147781,0.47533199773216567,0.03500775620269718,-0.042234571780252125,0.0428768123232281
1.0665968796817114,0.36974842125554175,0.5314003321990328,0.0567867120507186,-0.0656600307007686,0.03849559363033031
1.6915777117015325,0.4539830106401006,0.4393076958077876,0.04207183003744152,-0.04347942409755029,0.03945423833560041
1.2823974489583665,0.37223448240129314,0.42925649197009735,0.04861984856673762,-0.05393512619829747,0.05017436714851589
1.6927151219314762,0.39211188699992855,0.5141477524125165,0.05081505467506485,-0.05712654776577206,0.04619255962878854
2.020809566517156,0.37786088852730804,0.5579907261178779,0.03608232387098234,-0.04005013120799616,0.04181660869280131
2.252976878338897,0.4258304107636363,0.45240870958248924,0.03794902449850848,-0.04020562934041955,0.036420976208908475
2.2411768311580023,0.4532043430595232,0.4175654090434289,0.04761938229214909,-0.047939017096942343,0.043445827789299
2.680026882617091,0.47816731538416984,0.4190345709493814,0.04905682211938667,-0.048749246841912175,0.052264084992862746
2.395046807207391,0.3575755814424333,0.46528032896572924,0.05601718598513986,-0.04561197909330449,0.052348265431318895
1.8297504132162978,0.35099169424217663,0.5562026958033803,0.035754363288110096,-0.037449670703894065,0.03474858271824749
1.4567142587041289,0.3280709553831531,0.4799188910560417,0.017908723010394183,-0.016610687068147185,0.02604609518915619
2.273684102915768,0.4490514178250319,0.41578204647898,0.027268008510087496,-0.024205272633309398,0.022104315152022196
2.474439230166636,0.5497514978865031,0.42577317782606716,0.04942979707848555,-0.04584282145034669,0.05756274130060632
